Warehouse,Location,PartLocationNo,StatusDescription,Low Level,Mid_Level,High_Level,Total PartNo,ProgramID
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,63,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,42,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,29,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,38,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,6,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,38,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,16,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,46,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,13,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.02.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,27,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.02.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,64,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.02.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,50,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.02.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.02.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.02.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.03.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,11,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,42,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.03.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,31,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.03.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.03.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.01.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,8,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.01.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,38,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.01.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,17,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.01.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.01.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,13,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,54,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,7,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,19,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.02.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,11,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,41,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,6,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DD.03.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,7,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DF.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DF.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DF.2.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DF.2.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DIS.CRE.P1,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DIS.CRE.P2,RECEIVED,ARB Research,ARB Research,ARB Hold,83,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DST.01.A,RECEIVED,ARB Research,ARB Research,ARB Hold,21,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DST.02.A,RECEIVED,ARB Research,ARB Research,ARB Hold,10,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DST.03.A,RECEIVED,ARB Research,ARB Research,ARB Hold,18,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.EC.01.D1,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.R.T.S,RECEIVED,ARB Research,ARB Research,ARB Hold,11,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.RS6.01.A,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.UR.0.0,RECEIVED,ARB UR,ARB UR,ARB Hold,501,10053
BOMFIX,DELL - MEMPHIS,BOMFIX.ARB.BOM.TOW.08A,HOLD,BomFIX,WIP,ARB WIP,1,10053
BOMFIX,DELL - MEMPHIS,BOMFix.ARB.H0.0.0,HOLD,BomFIX,WIP,ARB WIP,37,10053
BOMFIX,DELL - MEMPHIS,BOMFIX.ARB.OP.PRJ.KPD,HOLD,BomFIX,WIP,ARB WIP,1,10053
BOXING,DELL - MEMPHIS,BOXING.ARB.0.0.0,RECEIVED,Boxing,WIP,ARB WIP,3,10053
BOXING,DELL - MEMPHIS,Boxing.ARB.H0.0.0,HOLD,Boxing,WIP,ARB WIP,15,10053
BROKER,DELL - MEMPHIS,Broker.ARB.0.0.0,RECEIVED,Broker,WIP,ARB WIP,3,10053
WIP,DELL - MEMPHIS,WIP.10053.0.0.0,WIP,Broker,WIP,ARB WIP,101,10053
WIP,DELL - MEMPHIS,WIP.10053.0.0.0,WIP,Clean & Grade,WIP,ARB WIP,314,10053
ENGHOLD,DELL - MEMPHIS,EngHold.ARB.0.0.0,RECEIVED,ENG Hold,HOLD,ARB Hold,24,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AF.11.02A,RECEIVED,ENG Hold,HOLD,ARB Hold,7,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AF.11.03A,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
