Warehouse,Location,PartLocationNo,StatusDescription,Low Level,Mid_Level,High_Level,Total PartNo,ProgramID
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01F,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.01J,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02D,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02F,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.05.02K,REPAIR,FGI,FGI,ARB FGI,1,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01B,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.01K,REPAIR,FGI,FGI,ARB FGI,1,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02C,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02D,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02F,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02G,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02H,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.06.02K,REPAIR,FGI,FGI,ARB FGI,1,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01H,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.01K,REPAIR,FGI,FGI,ARB FGI,4,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02C,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02D,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02E,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02G,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02H,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02J,REPAIR,FGI,FGI,ARB FGI,8,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.07.02K,REPAIR,FGI,FGI,ARB FGI,6,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01C,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01F,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.01K,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02B,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02C,REPAIR,FGI,FGI,ARB FGI,8,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02D,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02E,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02F,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02G,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02H,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02J,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.08.02K,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01C,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01D,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01E,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01F,REPAIR,FGI,FGI,ARB FGI,8,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01G,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01J,REPAIR,FGI,FGI,ARB FGI,8,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.01K,REPAIR,FGI,FGI,ARB FGI,7,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02A,REPAIR,FGI,FGI,ARB FGI,8,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02C,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02E,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02F,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02G,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02H,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BA.09.02K,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01C,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01D,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01F,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.01J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02E,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.01.02J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01A,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01E,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01H,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.01J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02B,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02D,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02E,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.02.02J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01D,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01E,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01G,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.01J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02A,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02C,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02E,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02G,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02H,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.03.02J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01D,REPAIR,FGI,FGI,ARB FGI,12,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.01J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02A,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02D,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02F,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.04.02J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01A,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01C,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01E,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.01J,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02A,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02B,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02C,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02D,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02E,REPAIR,FGI,FGI,ARB FGI,10,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02F,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02G,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02H,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.05.02J,REPAIR,FGI,FGI,ARB FGI,11,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.06.01A,REPAIR,FGI,FGI,ARB FGI,5,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.06.01B,REPAIR,FGI,FGI,ARB FGI,15,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.06.01C,REPAIR,FGI,FGI,ARB FGI,6,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.06.01D,REPAIR,FGI,FGI,ARB FGI,3,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.06.01E,REPAIR,FGI,FGI,ARB FGI,9,10053
FINISHEDGOODS,DELL - MEMPHIS,FINISHEDGOODS.ARB.BB.06.01F,REPAIR,FGI,FGI,ARB FGI,11,10053
